variable,permutation,dropout_loss,label
_full_model_,0,0.15866162978953047,LightGBM
Embarked_Q,0,0.15716621694549382,LightGBM
Parch,0,0.1605314355099838,LightGBM
Embarked_S,0,0.16200121424716676,LightGBM
Pclass_X2,0,0.16205221262817054,LightGBM
SibSp,0,0.17947787371829466,LightGBM
Fare,0,0.19981556934700487,LightGBM
Age,0,0.2109753103076093,LightGBM
Pclass_X3,0,0.22574379384781434,LightGBM
Sex_male,0,0.3790704263356719,LightGBM
_baseline_,0,0.5040130868861307,LightGBM
_full_model_,1,0.15866162978953047,LightGBM
Age,1,0.19886670264436046,LightGBM
SibSp,1,0.16958985429034001,LightGBM
Parch,1,0.16041554236373445,LightGBM
Fare,1,0.20439827307069613,LightGBM
Pclass_X2,1,0.15893146249325418,LightGBM
Pclass_X3,1,0.21809228278467352,LightGBM
Sex_male,1,0.405558553696708,LightGBM
Embarked_Q,1,0.15663788451160277,LightGBM
Embarked_S,1,0.15630059363194826,LightGBM
_baseline_,1,0.48455207771181874,LightGBM
_full_model_,2,0.15866162978953047,LightGBM
Age,2,0.22240960604425253,LightGBM
SibSp,2,0.18604964921748512,LightGBM
Parch,2,0.1594036697247706,LightGBM
Fare,2,0.17667296276308686,LightGBM
Pclass_X2,2,0.1632487857528333,LightGBM
Pclass_X3,2,0.2178224500809498,LightGBM
Sex_male,2,0.3484214786832164,LightGBM
Embarked_Q,2,0.1592012951969779,LightGBM
Embarked_S,2,0.15265785213167837,LightGBM
_baseline_,2,0.45871559633027525,LightGBM
_full_model_,3,0.15866162978953047,LightGBM
Age,3,0.20203723691311382,LightGBM
SibSp,3,0.19320021586616298,LightGBM
Parch,3,0.16459794927145166,LightGBM
Fare,3,0.2078386400431732,LightGBM
Pclass_X2,3,0.16999460334592553,LightGBM
Pclass_X3,3,0.2276713437668645,LightGBM
Sex_male,3,0.3583378305450621,LightGBM
Embarked_Q,3,0.1570426335671884,LightGBM
Embarked_S,3,0.15643550998381006,LightGBM
_baseline_,3,0.44266055045871566,LightGBM
_full_model_,4,0.15866162978953047,LightGBM
Age,4,0.2114139233675122,LightGBM
SibSp,4,0.17114139233675119,LightGBM
Parch,4,0.16432811656772794,LightGBM
Fare,4,0.18996222342147873,LightGBM
Pclass_X2,4,0.15663788451160288,LightGBM
Pclass_X3,4,0.22072315164597955,LightGBM
Sex_male,4,0.38808688613059905,LightGBM
Embarked_Q,4,0.1570426335671884,LightGBM
Embarked_S,4,0.16621694549379384,LightGBM
_baseline_,4,0.5942390717754993,LightGBM
_full_model_,5,0.15866162978953047,LightGBM
Age,5,0.20925526173772258,LightGBM
SibSp,5,0.17896654074473828,LightGBM
Parch,5,0.15758229897463572,LightGBM
Fare,5,0.20507285483000537,LightGBM
Pclass_X2,5,0.16587965461413923,LightGBM
Pclass_X3,5,0.23016729627630872,LightGBM
Sex_male,5,0.3306799784133837,LightGBM
Embarked_Q,5,0.1574473826227739,LightGBM
Embarked_S,5,0.1650701565029682,LightGBM
_baseline_,5,0.5449271451699946,LightGBM
_full_model_,6,0.15866162978953047,LightGBM
Age,6,0.2217350242849433,LightGBM
SibSp,6,0.17458175930922826,LightGBM
Parch,6,0.1612250404749056,LightGBM
Fare,6,0.2664597949271452,LightGBM
Pclass_X2,6,0.15866162978953047,LightGBM
Pclass_X3,6,0.2319886670264436,LightGBM
Sex_male,6,0.4050863464651916,LightGBM
Embarked_Q,6,0.1570426335671884,LightGBM
Embarked_S,6,0.15609821910415544,LightGBM
_baseline_,6,0.5140313005936319,LightGBM
_full_model_,7,0.15866162978953047,LightGBM
Age,7,0.20385860766324881,LightGBM
SibSp,7,0.1795736643281166,LightGBM
Parch,7,0.16237182946573125,LightGBM
Fare,7,0.20075553157042636,LightGBM
Pclass_X2,7,0.1574473826227739,LightGBM
Pclass_X3,7,0.2195763626551538,LightGBM
Sex_male,7,0.3995547760388559,LightGBM
Embarked_Q,7,0.1570426335671884,LightGBM
Embarked_S,7,0.16608202914193204,LightGBM
_baseline_,7,0.44266055045871566,LightGBM
_full_model_,8,0.15866162978953047,LightGBM
Age,8,0.19684295736643287,LightGBM
SibSp,8,0.17889908256880738,LightGBM
Parch,8,0.1612924986508365,LightGBM
Fare,8,0.19677549919050186,LightGBM
Pclass_X2,8,0.16041554236373445,LightGBM
Pclass_X3,8,0.2417026443604965,LightGBM
Sex_male,8,0.30308958445763634,LightGBM
Embarked_Q,8,0.1570426335671884,LightGBM
Embarked_S,8,0.15630059363194815,LightGBM
_baseline_,8,0.575148407987048,LightGBM
_full_model_,9,0.15866162978953047,LightGBM
Age,9,0.19670804101457096,LightGBM
SibSp,9,0.17282784673502427,LightGBM
Parch,9,0.1612250404749056,LightGBM
Fare,9,0.23070696168375604,LightGBM
Pclass_X2,9,0.15994333513221803,LightGBM
Pclass_X3,9,0.20082298974635726,LightGBM
Sex_male,9,0.3730437128980032,LightGBM
Embarked_Q,9,0.1570426335671884,LightGBM
Embarked_S,9,0.1674986508364814,LightGBM
_baseline_,9,0.6036157582298975,LightGBM
_full_model_,10,0.15866162978953047,LightGBM
Age,10,0.21681057744198595,LightGBM
SibSp,10,0.1832838640043173,LightGBM
Parch,10,0.16399082568807344,LightGBM
Fare,10,0.23124662709120347,LightGBM
Pclass_X2,10,0.1629789530491096,LightGBM
Pclass_X3,10,0.231651376146789,LightGBM
Sex_male,10,0.38370210469508903,LightGBM
Embarked_Q,10,0.15690771721532648,LightGBM
Embarked_S,10,0.16372099298434972,LightGBM
_baseline_,10,0.5677280086346466,LightGBM
_full_model_,11,0.15866162978953047,LightGBM
Age,11,0.20837830545062064,LightGBM
SibSp,11,0.20116028062601188,LightGBM
