Age,SibSp,Parch,Fare,Pclass_X2,Pclass_X3,Sex_male,Embarked_Q,Embarked_S,BIAS,row_id
22,1,0,7.25,0,1,1,0,1,0,1
38,1,0,71.2833,0,0,0,0,0,0,2
35,1,0,53.1,0,0,0,0,1,0,3
14,1,0,30.0708,1,0,0,0,0,0,4
2,4,1,29.125,0,1,1,1,0,0,5
27.415930487859754,0,0,7.8958,0,1,1,0,1,0,6
33.93626199916368,1,0,146.5208,0,0,0,0,0,0,7
66,0,0,10.5,1,0,1,0,1,0,8
28.38539933724613,0,0,7.75,0,1,0,1,0,0,9
18,1,0,17.8,0,1,0,0,1,0,10
21,0,0,10.5,1,0,0,0,1,0,11
28.5,0,0,7.2292,0,1,1,0,0,0,12
38,0,0,80,0,0,0,NA,NA,0,13
45,1,0,83.475,0,0,1,0,1,0,14
29,0,0,10.5,1,0,0,0,1,0,15
25,0,0,7.65,0,1,1,0,1,0,16
27.415930487859754,0,0,8.05,0,1,1,0,1,0,17
30,0,0,12.475,0,1,0,0,1,0,18
17,0,0,10.5,1,0,0,0,1,0,19
33,3,0,15.85,0,1,0,0,1,0,20
16,1,3,34.375,0,1,1,0,1,0,21
23,3,2,263,0,0,0,0,1,0,22
59,0,0,7.25,0,1,1,0,1,0,23
71,0,0,34.6542,0,0,1,0,0,0,24
28,0,0,7.8958,0,1,0,0,1,0,25
21,0,1,77.2875,0,0,1,0,1,0,26
28,0,0,7.8958,0,1,1,0,1,0,27
14.5,1,0,14.4542,0,1,0,0,0,0,28
32.5,1,0,30.0708,1,0,1,0,0,0,29
24,0,0,7.1417,0,1,1,0,1,0,30
22,0,0,7.75,0,1,0,0,1,0,31
9,2,2,34.375,0,1,0,0,1,0,32
22,1,0,66.6,0,0,0,0,1,0,33
55.5,0,0,8.05,0,1,1,0,1,0,34
28.274919586434024,0,0,7.3125,0,1,1,0,1,0,35
1,4,1,39.6875,0,1,1,0,1,0,36
9,0,2,20.525,0,1,1,0,1,0,37
9,4,2,31.3875,0,1,1,0,1,0,38
26.442787290371484,1,0,15.5,0,1,0,1,0,0,39
