variable,value,method
y,1,Native (Gain)
carat,0.9786435922121799,Native (Gain)
clarity,0.12550480853494908,Native (Gain)
z,0.07523301750169235,Native (Gain)
color,0.052852201012589604,Native (Gain)
x,0.03952748926479703,Native (Gain)
depth,0.005678996831099863,Native (Gain)
cut,0.001803926062029287,Native (Gain)
table,8.273790988827806e-4,Native (Gain)
carat,1,Permutation
y,0.9954551399527921,Permutation
clarity,0.48858384024993695,Permutation
color,0.3267539336241609,Permutation
z,0.24803822463422426,Permutation
x,0.05728882057974572,Permutation
cut,0.009520710390957234,Permutation
depth,0.005185049818846776,Permutation
table,1.1204017676783491e-4,Permutation
carat,1,SHAP (Mean |SHAP|)
cut,0.04599641570346374,SHAP (Mean |SHAP|)
color,0.278707790267658,SHAP (Mean |SHAP|)
clarity,0.42264919891768676,SHAP (Mean |SHAP|)
depth,0.022225811106303194,SHAP (Mean |SHAP|)
table,0.009719558901144494,SHAP (Mean |SHAP|)
x,0.11882969544349618,SHAP (Mean |SHAP|)
y,0.8920976870938745,SHAP (Mean |SHAP|)
z,0.28282522736140797,SHAP (Mean |SHAP|)
