variable,permutation,dropout_loss,label
_full_model_,0,0,LightGBM
table,0,0.2526093777181586,LightGBM
depth,0,11.690379700942003,LightGBM
cut,0,21.465699150745763,LightGBM
x,0,129.16521317924844,LightGBM
z,0,559.2349403822212,LightGBM
color,0,736.7099037232448,LightGBM
clarity,0,1101.576804046313,LightGBM
y,0,2244.3851009884347,LightGBM
carat,0,2254.6320882876466,LightGBM
_baseline_,0,5061.427434879382,LightGBM
_full_model_,1,4.322308693138666,LightGBM
carat,1,2240.8571645611028,LightGBM
cut,1,18.047393355694226,LightGBM
color,1,810.1532485348349,LightGBM
clarity,1,1111.1413097709215,LightGBM
depth,1,16.652736572310914,LightGBM
table,1,-0.08112314258346487,LightGBM
x,1,130.0667214047785,LightGBM
y,1,2220.5746654951968,LightGBM
z,1,581.665092407164,LightGBM
_baseline_,1,5136.431289171519,LightGBM
_full_model_,2,1.1946429598012855,LightGBM
carat,2,2248.3108925229226,LightGBM
cut,2,25.320087458551143,LightGBM
color,2,732.6241718589978,LightGBM
clarity,2,1147.1011590980693,LightGBM
depth,2,8.215536083493134,LightGBM
table,2,-3.9606820434149768,LightGBM
x,2,137.94731928160627,LightGBM
y,2,2296.943560209745,LightGBM
z,2,549.1120126127408,LightGBM
_baseline_,2,5422.166512186849,LightGBM
_full_model_,3,35.110627374778346,LightGBM
carat,3,2355.874802044941,LightGBM
cut,3,55.25589007412566,LightGBM
color,3,622.0013911809511,LightGBM
clarity,3,1060.5096968909347,LightGBM
depth,3,71.20841714225014,LightGBM
table,3,34.86246984098716,LightGBM
x,3,153.34752593460337,LightGBM
y,3,2183.10030382538,LightGBM
z,3,563.7008359416876,LightGBM
_baseline_,3,5151.772949359437,LightGBM
_full_model_,4,-21.049365558038744,LightGBM
carat,4,2159.4880543202976,LightGBM
cut,4,1.2034964707229392,LightGBM
color,4,695.2503216560673,LightGBM
clarity,4,1101.1231707080415,LightGBM
depth,4,-4.530841435336811,LightGBM
table,4,-22.673491910974462,LightGBM
x,4,119.2665174794488,LightGBM
y,4,2331.0343688212097,LightGBM
z,4,533.1180803482827,LightGBM
_baseline_,4,5074.117998764765,LightGBM
_full_model_,5,38.66852762993676,LightGBM
carat,5,2285.908559012127,LightGBM
cut,5,68.21414437895157,LightGBM
color,5,827.9772551792845,LightGBM
clarity,5,1294.9006683636726,LightGBM
depth,5,43.282330241209934,LightGBM
table,5,35.08543031595127,LightGBM
x,5,169.10764161422344,LightGBM
y,5,2187.2459881668465,LightGBM
